No. de cuenta / control,Año de nacimiento,Grado que cursas actualmente:,¿Cuál es el ingreso familiar mensual?,¿Cuál es el ingreso personal mensual?,"Pensando en el jefe o jefa del hogar , ¿cuál fue el último grado de estudios que aprobó en la escuela?",Ocupación actual del padre,Ocupación actual de la madre,"¿Cuántos automóviles, camionetas cerradas, vans o pick-ups tiene este hogar?",Seleccione los servicios y bienes con los que cuenta en su casa,"Sin tomar en cuenta la conexión móvil desde algún celular, ¿su hogar cuenta con internet?",¿Cuántos cuartos tiene su casa que se utilizan para dormir?,"¿Cuántas personas viven en su casa, incluido usted?",¿Cuántos baños completos tiene esta vivienda con excusado/WC y regadera?,¿Cuántas personas de 14 años o más trabajan actualmente o trabajaron el mes pasado?,"A la semana, ¿qué tanto consume los siguientes alimentos? [Carne]","A la semana, ¿qué tanto consume los siguientes alimentos? [Huevos]","A la semana, ¿qué tanto consume los siguientes alimentos? [Leche]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frutas y verduras]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frijoles/arroz/lentejas]","A la semana, ¿qué tanto consume los siguientes alimentos? [Pan]","A la semana, ¿qué tanto consume los siguientes alimentos? [Cereales]",origen_registro
SINT-0553,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,3,2,2,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0554,2006,Universidad.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Computadora; Diccionario o enciclopedia,Si,1,2,1,2,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0555,2008,Preparatoria/Bachillerato.,"$10,001–20,000","$3,001–6,000",Licenciatura completa,Profesionista,Profesionista,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,4,4,2,0,Más de 10,6–10 porciones,Más de 10,Más de 10,Más de 10,Más de 10,Más de 10,sintetico
SINT-0556,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Reproductor DVD; Computadora,Si,2,3,1,2,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,sintetico
SINT-0557,2007,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,4,5,1,1,1–2 porciones,6–10 porciones,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,sintetico
SINT-0558,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite,Si,2,4,1,1,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0559,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Diccionario o enciclopedia,Si,1,5,1,2,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,sintetico
SINT-0560,2008,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Diccionario o enciclopedia,Si,1,5,1,2,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0561,2004,No estoy estudiando actuamente.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,1,"Drenaje, Agua entubada, Alumbrado público, Teléfono, Teléfono celular, Televisión, Calculadora",Si,2,5,1,2,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0562,2009,No estoy estudiando actuamente.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,No,3,5,2,3,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,sintetico
SINT-0563,2008,Preparatoria/Bachillerato.,"$5,001–10,000","Más de $6,000",Licenciatura completa,Empleado,Desempleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono, Teléfono celular, Televisión, Computadora",Si,1,2,1,0,1–2 porciones,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,sintetico
SINT-0564,2010,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Carrera técnica,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,No,3,7,1,3,6–10 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0565,2008,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Secundaria completa,Desempleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora,No,1,4,1,3,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,Más de 10,sintetico
SINT-0566,2009,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Preparatoria completa,Comerciante,Desempleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia; Suscripción a revista o periódico,No,1,4,1,2,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,Más de 10,3–5 porciones,1–2 porciones,sintetico
SINT-0567,2010,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Comerciante,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión,Si,2,5,1,2,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0568,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria incompleta,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora,Si,1,4,1,2,3–5 porciones,3–5 porciones,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,Nunca,sintetico
SINT-0569,2010,Preparatoria/Bachillerato.,"Menos de $5,000","$3,001–6,000",Secundaria completa,Comerciante,Trabajo informal/obrera,0,Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Computadora; Diccionario o enciclopedia,Si,2,3,2,2,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0570,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Trabajo informal/obrera,1,Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,3,1,2,1–2 porciones,Más de 10,3–5 porciones,1–2 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico
SINT-0571,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,Si,1,5,1,2,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,3–5 porciones,sintetico
SINT-0572,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,1,4,1,1,1–2 porciones,Más de 10,Nunca,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,sintetico
SINT-0573,2010,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Licenciatura incompleta,Empleado,Profesionista,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora,Si,3,4,2,4,Nunca,6–10 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,1–2 porciones,sintetico
SINT-0574,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,Si,4,4,1,2,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,Más de 10,6–10 porciones,Más de 10,sintetico
SINT-0575,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Comerciante,Desempleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,3,1,1,Nunca,6–10 porciones,Más de 10,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0576,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura incompleta,Comerciante,Profesionista,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,6,2,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,3–5 porciones,sintetico
SINT-0577,2002,Universidad.,"$5,001–10,000",No tengo ingresos,Licenciatura completa,Profesionista,Profesionista,1,"Drenaje, Alumbrado público, Calles pavimentadas, Calentador de gas para agua, Un lugar exclusivo para estudiar, Teléfono celular, Televisión, Computadora, Diccionario o enciclopedia",Si,4,5,2,3,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0578,2005,Universidad.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Desempleado,Desempleada,0,"Drenaje, Teléfono celular, Televisión, Computadora",Si,4,6,1,0,1–2 porciones,1–2 porciones,Nunca,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0579,2007,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria incompleta,Comerciante,Profesionista,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,3,6,2,1,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico
SINT-0580,2008,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Desempleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Televisión; Computadora,Si,2,3,1,1,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico
SINT-0581,2000,Universidad.,"Menos de $5,000","Menos de $3,000",Secundaria completa,Trabajo informal/obrero,Desempleada,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono celular, Televisión, Computadora",Si,3,7,2,0,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0582,2009,Secundaria.,"$10,001–20,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión; Calculadora; Computadora,Si,1,5,1,1,3–5 porciones,6–10 porciones,3–5 porciones,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0583,2005,Universidad.,"Menos de $5,000",No tengo ingresos,Preparatoria completa,Empleado,Desempleada,1,"Alumbrado público, Teléfono, Televisión, Computadora",Si,3,6,1,4,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0584,2000,No estoy estudiando actuamente.,"Más de $20,000","Más de $6,000",Preparatoria incompleta,Comerciante,Comerciante,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono, Teléfono celular, Televisión, Televisión por cable o satélite, Calculadora",Si,3,4,3,0,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,1–2 porciones,6–10 porciones,sintetico
SINT-0585,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,6,1,4,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico
SINT-0586,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Profesionista,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,5,6,1,3,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0587,2003,Universidad.,"$10,001–20,000","$3,001–6,000",Secundaria completa,Comerciante,Trabajo informal/obrera,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Videograbadora, Reproductor DVD, Calculadora, Computadora",Si,4,7,1,4,1–2 porciones,1–2 porciones,Nunca,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0588,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Televisión; Reproductor DVD; Calculadora,Si,3,4,1,1,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,Más de 10,1–2 porciones,1–2 porciones,sintetico
SINT-0589,2007,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Computadora,Si,2,5,1,2,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0590,2009,Secundaria.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,3,5,1,2,6–10 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0591,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular,Si,3,2,1,3,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0592,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Trabajo informal/obrera,1,Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,3,1,2,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico
SINT-0593,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,5,1,3,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico
SINT-0594,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,4,1,2,Nunca,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,sintetico
SINT-0595,2008,Preparatoria/Bachillerato.,"$5,001–10,000","$3,001–6,000",Carrera técnica,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,4,1,1,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,sintetico
SINT-0596,2007,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora,Si,4,5,1,1,Nunca,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,sintetico
SINT-0597,2010,No estoy estudiando actuamente.,"$5,001–10,000","Menos de $3,000",Carrera técnica,Empleado,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia; Suscripción a revista o periódico,Si,3,6,1,1,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0598,2005,Universidad.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Comerciante,Desempleada,1,"Drenaje, Alumbrado público, Calles pavimentadas, Teléfono celular",Si,2,4,1,0,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,Nunca,sintetico
SINT-0599,2006,Universidad.,"Más de $20,000",No tengo ingresos,Carrera técnica,Trabajo informal/obrero,Desempleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,7,1,2,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Nunca,Nunca,sintetico
SINT-0600,2008,Preparatoria/Bachillerato.,"$5,001–10,000","$3,001–6,000",Licenciatura completa,Empleado,Empleada,1,"Agua entubada, Alumbrado público, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión por cable o satélite, Calculadora, Computadora",Si,3,4,1,0,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0601,2002,Universidad.,"$10,001–20,000","$3,001–6,000",Licenciatura completa,Profesionista,Profesionista,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,4,4,2,0,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico
SINT-0602,2003,Universidad.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Diccionario o enciclopedia,Si,1,5,1,2,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0603,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Preparatoria completa,Comerciante,Desempleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono, Teléfono celular, Televisión, Televisión por cable o satélite, Calculadora, Computadora, Diccionario o enciclopedia",Si,2,5,1,3,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0604,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Televisión por cable o satélite; Diccionario o enciclopedia,No,2,5,1,1,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0605,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Primaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,Si,2,3,0,2,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,Nunca,sintetico
SINT-0606,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,2,6,1,1,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico
SINT-0607,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,2,6,1,1,1–2 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,Nunca,sintetico
SINT-0608,2006,Universidad.,"$5,001–10,000","Menos de $3,000",Secundaria incompleta,Empleado,Comerciante,1,"Drenaje, Agua entubada, Alumbrado público, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono celular, Televisión, Televisión por cable o satélite, Computadora, Diccionario o enciclopedia",Si,3,4,1,4,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,1–2 porciones,sintetico
SINT-0609,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,No,2,2,1,1,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0610,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Desempleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,3,1,1,1–2 porciones,3–5 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,sintetico
SINT-0611,2010,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,3,4,1,2,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,Más de 10,1–2 porciones,1–2 porciones,sintetico
