No. de cuenta / control,Año de nacimiento,Grado que cursas actualmente:,¿Cuál es el ingreso familiar mensual?,¿Cuál es el ingreso personal mensual?,"Pensando en el jefe o jefa del hogar , ¿cuál fue el último grado de estudios que aprobó en la escuela?",Ocupación actual del padre,Ocupación actual de la madre,"¿Cuántos automóviles, camionetas cerradas, vans o pick-ups tiene este hogar?",Seleccione los servicios y bienes con los que cuenta en su casa,"Sin tomar en cuenta la conexión móvil desde algún celular, ¿su hogar cuenta con internet?",¿Cuántos cuartos tiene su casa que se utilizan para dormir?,"¿Cuántas personas viven en su casa, incluido usted?",¿Cuántos baños completos tiene esta vivienda con excusado/WC y regadera?,¿Cuántas personas de 14 años o más trabajan actualmente o trabajaron el mes pasado?,"A la semana, ¿qué tanto consume los siguientes alimentos? [Carne]","A la semana, ¿qué tanto consume los siguientes alimentos? [Huevos]","A la semana, ¿qué tanto consume los siguientes alimentos? [Leche]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frutas y verduras]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frijoles/arroz/lentejas]","A la semana, ¿qué tanto consume los siguientes alimentos? [Pan]","A la semana, ¿qué tanto consume los siguientes alimentos? [Cereales]",origen_registro,nivel_socioeconomico_amai,valor_amai_normalizado
SINT-0303,2004,Universidad.,"$5,001–10,000","Menos de $3,000",Licenciatura completa,Empleado,Comerciante,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono celular, Televisión",Si,3,5,1,0,1–2 porciones,Nunca,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C,0.536667
SINT-0304,2006,Universidad.,"Menos de $5,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular,Si,3,2,1,3,Nunca,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C-,0.456667
SINT-0305,2007,Preparatoria/Bachillerato.,"$10,001–20,000","$3,001–6,000",Licenciatura completa,Profesionista,Profesionista,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,4,4,2,0,6–10 porciones,6–10 porciones,3–5 porciones,Nunca,3–5 porciones,Más de 10,3–5 porciones,sintetico,C+,0.64
SINT-0306,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,4,1,2,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,A/B,0.71
SINT-0307,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria incompleta,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,4,1,3,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,sintetico,C,0.543333
SINT-0308,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico,D+,0.38
SINT-0309,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Comerciante,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora,No,2,3,1,1,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,D,0.243333
SINT-0310,2006,Universidad.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora,No,3,4,1,1,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,D,0.3
SINT-0311,2008,Universidad.,"$10,001–20,000","Menos de $3,000",Secundaria completa,Desempleado,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Calculadora; Diccionario o enciclopedia,Si,2,3,1,2,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,Más de 10,3–5 porciones,6–10 porciones,sintetico,C-,0.403333
SINT-0312,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Carrera técnica,Empleado,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Reproductor DVD; Diccionario o enciclopedia,No,2,4,1,3,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,D+,0.363333
SINT-0313,2000,No estoy estudiando actuamente.,"$10,001–20,000","Más de $6,000",Secundaria completa,Comerciante,Comerciante,1,"Drenaje, Agua entubada, Alumbrado público, Un cuarto propio para dormir, Teléfono celular, Televisión, Computadora",Si,3,4,1,3,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C,0.553333
SINT-0314,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,3–5 porciones,sintetico,C-,0.456667
SINT-0315,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Computadora,Si,2,2,1,1,3–5 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,Nunca,sintetico,C+,0.63
SINT-0316,2006,Universidad.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,1,"Drenaje, Agua entubada, Alumbrado público, Teléfono, Teléfono celular, Televisión, Calculadora",Si,2,5,1,2,1–2 porciones,1–2 porciones,1–2 porciones,3–5 porciones,1–2 porciones,1–2 porciones,3–5 porciones,sintetico,C,0.506667
SINT-0317,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Diccionario o enciclopedia,Si,2,3,1,1,1–2 porciones,6–10 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,Más de 10,sintetico,C-,0.453333
SINT-0318,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,6,1,2,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,Más de 10,6–10 porciones,Más de 10,sintetico,C-,0.42
SINT-0319,20,Universidad.,"$5,001–10,000","Más de $6,000",Preparatoria completa,Trabajo informal/obrero,Empleada,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono celular, Televisión, Calculadora, Diccionario o enciclopedia",Si,2,1,1,1,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,1–2 porciones,sintetico,D+,0.38
SINT-0320,2004,Universidad.,"$10,001–20,000","$3,001–6,000",Secundaria completa,Comerciante,Trabajo informal/obrera,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Videograbadora, Reproductor DVD, Calculadora, Computadora",Si,4,7,1,4,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C,0.556667
SINT-0321,2006,Universidad.,"$10,001–20,000","Más de $6,000",Secundaria incompleta,Empleado,Comerciante,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Calculadora, Diccionario o enciclopedia",Si,3,5,2,4,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,C+,0.66
SINT-0322,2006,Universidad.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,3,3,1,3,3–5 porciones,6–10 porciones,1–2 porciones,6–10 porciones,1–2 porciones,Nunca,1–2 porciones,sintetico,C,0.48
SINT-0323,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,1,4,1,1,1–2 porciones,Más de 10,3–5 porciones,1–2 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,D+,0.356667
SINT-0324,2004,Universidad.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,3,2,2,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Más de 10,sintetico,C+,0.61
SINT-0325,2009,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Sin instrucción,Comerciante,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,No,3,4,1,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,D,0.21
SINT-0326,2010,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora; Diccionario o enciclopedia,No,2,2,1,2,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Nunca,sintetico,D,0.296667
SINT-0327,2009,Secundaria.,"$10,001–20,000",No tengo ingresos,Carrera técnica,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,3,1,1,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,Más de 10,3–5 porciones,1–2 porciones,sintetico,C-,0.44
SINT-0328,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,1–2 porciones,3–5 porciones,Nunca,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,sintetico,D+,0.38
SINT-0329,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,2,6,1,1,6–10 porciones,1–2 porciones,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,sintetico,C-,0.453333
SINT-0330,2006,Universidad.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Empleada,1,"Drenaje, Agua entubada, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia, Suscripción a revista o periódico",Si,4,4,1,0,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,sintetico,C-,0.456667
SINT-0331,2009,Preparatoria/Bachillerato.,"Menos de $5,000","$3,001–6,000",Secundaria completa,Comerciante,Trabajo informal/obrera,0,Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Computadora; Diccionario o enciclopedia,Si,2,3,2,2,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,Más de 10,3–5 porciones,3–5 porciones,sintetico,C,0.48
SINT-0332,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,Si,2,4,1,1,1–2 porciones,3–5 porciones,Nunca,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,sintetico,D+,0.326667
SINT-0333,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,4,1,2,1–2 porciones,Nunca,6–10 porciones,1–2 porciones,6–10 porciones,6–10 porciones,Más de 10,sintetico,C,0.476667
SINT-0334,2010,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora; Suscripción a revista o periódico,Si,2,4,1,1,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,Más de 10,6–10 porciones,sintetico,C-,0.4
SINT-0335,2010,Preparatoria/Bachillerato.,"$5,001–10,000","$3,001–6,000",Preparatoria completa,Desempleado,Empleada,1,"Alumbrado público, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono, Teléfono celular, Televisión, Televisión por cable o satélite, Videograbadora, Reproductor DVD, Calculadora, Computadora, Diccionario o enciclopedia",Si,4,3,1,2,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,C+,0.56
SINT-0336,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Desempleada,0,Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,4,1,1,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico,D+,0.35
SINT-0337,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Reproductor DVD; Computadora,Si,2,3,1,2,1–2 porciones,3–5 porciones,Nunca,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,sintetico,C-,0.42
SINT-0338,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Desempleado,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Computadora,Si,2,4,1,1,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C-,0.44
SINT-0339,2009,Preparatoria/Bachillerato.,"Más de $20,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,4,1,1,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,C-,0.423333
SINT-0340,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Desempleado,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite,Si,2,4,0,3,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C-,0.463333
SINT-0341,2005,Universidad.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Desempleado,Empleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Televisión por cable o satélite, Computadora",Si,3,3,1,0,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,Nunca,sintetico,C-,0.43
SINT-0342,2007,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Computadora,Si,2,2,1,1,3–5 porciones,1–2 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,sintetico,C+,0.63
SINT-0343,2010,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Secundaria completa,Empleado,Trabajo informal/obrera,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,2,5,1,3,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico,C-,0.453333
SINT-0344,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión,Si,3,4,1,1,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,Más de 10,6–10 porciones,6–10 porciones,sintetico,D+,0.353333
SINT-0345,2003,Universidad.,"$10,001–20,000","$3,001–6,000",Preparatoria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,2,3,1,2,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico,C-,0.433333
SINT-0346,2009,No estoy estudiando actuamente.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Profesionista,Profesionista,1,"Drenaje, Recolección periódica de basura, Un cuarto propio para dormir, Teléfono, Televisión, Calculadora, Computadora",Si,4,5,2,3,6–10 porciones,Más de 10,Más de 10,Más de 10,Más de 10,Más de 10,Más de 10,sintetico,A/B,0.686667
SINT-0347,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,3,5,1,1,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,sintetico,C-,0.45
SINT-0348,2008,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,No,1,3,1,2,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,Más de 10,6–10 porciones,3–5 porciones,sintetico,D,0.3
SINT-0349,2008,Preparatoria/Bachillerato.,"Más de $20,000",No tengo ingresos,Licenciatura incompleta,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,4,3,1,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C+,0.606667
SINT-0350,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,sintetico,D+,0.38
SINT-0351,2005,Universidad.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,2,3,1,1,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico,D+,0.38
SINT-0352,2005,Universidad.,"$5,001–10,000","Más de $6,000",Licenciatura completa,Empleado,Desempleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono, Teléfono celular, Televisión, Computadora",Si,1,2,1,0,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C,0.483333
SINT-0353,2009,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Primaria completa,Desempleado,Trabajo informal/obrera,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono celular, Televisión, Computadora, Diccionario o enciclopedia",Si,4,4,1,0,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,D+,0.33
SINT-0354,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Carrera técnica,Trabajo informal/obrero,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,7,1,2,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico,C,0.52
SINT-0355,2004,Universidad.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Empleado,Empleada,1,"Drenaje, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Un cuarto propio para dormir, Teléfono celular, Televisión",Si,3,5,1,2,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C,0.503333
SINT-0356,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Carrera técnica,Empleado,Desempleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Un cuarto propio para dormir, Un lugar exclusivo para estudiar, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,3,4,1,3,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Más de 10,1–2 porciones,sintetico,C+,0.57
SINT-0357,2009,Universidad.,"$10,001–20,000","Menos de $3,000",Carrera técnica,Empleado,Empleada,1,"Agua entubada, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono, Teléfono celular, Televisión, Televisión por cable o satélite, Reproductor DVD, Calculadora, Computadora, Diccionario o enciclopedia",Si,5,5,2,2,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C+,0.623333
SINT-0358,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,4,1,1,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Nunca,sintetico,C-,0.45
